YEAR;AREA
1989-07-01;2907.7461
1995-07-01;56.178
1999-07-01;1731.5784
2005-07-01;1286.8866
2009-07-01;844.9245
2013-07-01;1657.9107
2014-07-01;1234.0827
2015-07-01;772.9569
2016-07-01;21.5595
2017-07-01;339.3684
2018-07-01;1131.0813
